ID,Relatienummer pensioenfonds,Naam pensioenfonds,Naam persoon,Relatienummer persoon,Rol
393,6172,Stork,"Dijk, Roland Antonie Mario van",P125341,Bestuurder
394,6172,Stork,"Dijkshoorn, Maarten Willem",P119312,Bestuurder
395,6172,Stork,"Dorp, Willem Frank (Pim) van",P118286,Bestuurder
396,6172,Stork,"Duijst, Hendrik",P100037,Bestuurder
397,6172,Stork,"Eikens, Bernardus Johannes Jozeph",P113297,Bestuurder
398,6172,Stork,"Janssen, Guus",P110583,Bestuurder
399,6172,Stork,"Plat, Jan Charles",P126550,Bestuurder
400,6172,Stork,"Thoman, Henri Jacques",P119229,Bestuurder
401,6172,Stork,"Uijen, Everhardus Anthonius Wilhelmus Maria",P116805,Bestuurder
402,6184,De Hoop,"Datthijn, Alexander Jacobus Josephus",P126404,Bestuurder
403,6184,De Hoop,"Feijter, Jacobus de",P117185,Bestuurder
404,6184,De Hoop,"Kempe, Cornelis",P117318,Bestuurder
405,6184,De Hoop,"Koning, Martinus Ferdinand Rene de",P106028,Bestuurder
407,6184,De Hoop,"Remoortere, Paul Albert Eulalie van",P117319,Bestuurder
408,7044,Hoogovens,"Blok, Hans",P111119,Bestuurder
409,7044,Hoogovens,"Borst, Jacob Jan",P117816,Bestuurder
410,7044,Hoogovens,"Candel, Frans",P106035,Bestuurder
411,7044,Hoogovens,"Haveman, Geert Jan",P120923,Bestuurder
412,7044,Hoogovens,"Keilman, Gustaaf Jan",P123688,Bestuurder
413,7044,Hoogovens,"Kiliaan, Juanita",P100838,Bestuurder
414,7044,Hoogovens,"Littmann, Hubertus Johannes Arnoldus (Hub)",P131322,Bestuurder
416,7044,Hoogovens,"Neelis, Bastiaan Maarten",P131089,Bestuurder
417,7044,Hoogovens,"Nielsen, Frants Otto",P128123,Bestuurder
418,7044,Hoogovens,"Ridder, Johannes Theodorus de",P106036,Bestuurder
419,7044,Hoogovens,"Verhoef, Rob",P129051,Bestuurder
420,7065,NIBC,"Jansen, Judith Elisabeth Maria",P131066,Bestuurder
421,7065,NIBC,"Nagtegaal, Johan Adriaan",P111503,Bestuurder
423,7065,NIBC,"Rhijn, IJsbrand Sebastianus Maria van",P111133,Bestuurder
424,7065,NIBC,"Scheer, Frits Jeroen van der",P106618,Bestuurder
425,7113,ABN AMRO Bank,"Bergen, Vincent Emanuel van",P104734,Bestuurder
426,7113,ABN AMRO Bank,"Buitenhuis, Paul Alexander",P123507,Bestuurder
427,7113,ABN AMRO Bank,"Dorssen, Joyce Rafaële Eglantine van",P132267,Bestuurder
428,7113,ABN AMRO Bank,"Hooglander, Mattijs Rogier",P102745,Bestuurder
429,7113,ABN AMRO Bank,"Horst, Frans Marcel Robert van der",P124705,Bestuurder
431,7113,ABN AMRO Bank,"Leegwater, Geertruida Alida Catharina (Geraldine)",P109779,Bestuurder
432,7113,ABN AMRO Bank,"Pee, Cornelis de",P123708,Bestuurder
433,7113,ABN AMRO Bank,"Poelgeest, Neoletta",P111551,Bestuurder
434,7113,ABN AMRO Bank,"Roest, Maarten",P130025,Bestuurder
435,7113,ABN AMRO Bank,"Roozemond, Christine Elizabeth",P100615,Bestuurder
436,7113,ABN AMRO Bank,"Westerborg - de Haan, Wilhelmina",P108932,Bestuurder
437,7158,Heinz,"Bouwman, Wilhelmus Joseph Franciscus Gerardus",P125706,Bestuurder
438,7158,Heinz,"Hofstra, Marten",P102819,Bestuurder
439,7158,Heinz,"Janssen, Wim",P112796,Bestuurder
440,7158,Heinz,"Nieuwenhof, Wilhelmus Petrus Charles van den",P125807,Bestuurder
442,7158,Heinz,"Veld, Caroline Marianne in 't",P131569,Bestuurder
443,7777,Cosun,"Dienst, Adriaan Jacobus van",P103794,Bestuurder
444,7777,Cosun,"Knottnerus, Peter Martijn",P130982,Bestuurder
446,7777,Cosun,"Pirée, Wynand Pieter Alexander",P110662,Bestuurder
447,7777,Cosun,"Rheenen, Olaf Andreas van",P106368,Bestuurder
448,7777,Cosun,"Scheper, Johannes",P129649,Bestuurder
449,7777,Cosun,"Veldhoven, Peter Wilhelmus Maria van",P106373,Bestuurder
450,7777,Cosun,"Vriends, Johannes Petrus Marie",P129653,Bestuurder
451,7777,Cosun,"Werken, Teuni Adriana van de",P127444,Bestuurder
454,7781,APF,"Brouwer, Hendrik",P128458,Bestuurder
456,7781,APF,"Jalink, Gustaaf Henri",P130580,Bestuurder
460,7781,APF,"Vries, Stefanie Marie Louise de",P106879,Bestuurder
461,7781,APF,"Zee, Hendrikus Cornelis Bernardinus van der",P107282,Bestuurder
462,7781,APF,"Zuijlen, van",P118673,Bestuurder
463,7837,Nederlandsche Bank,"Dam, Reinder van",P131959,Bestuurder
464,7837,Nederlandsche Bank,"Elvers, Eric",P113192,Bestuurder
467,7837,Nederlandsche Bank,"Hendriks, Dirk",P119806,Bestuurder
468,7837,Nederlandsche Bank,"Loo, Pieter Dingenis van",P107801,Bestuurder
471,7837,Nederlandsche Bank,"Tiellemans, Gijsberdina Francisca Theodora",P122698,Bestuurder
472,7837,Nederlandsche Bank,"Wechem, Laurentius Joannes van",P129642,Bestuurder
473,7837,Nederlandsche Bank,"Weert, Franciscus Johannes de",P103808,Bestuurder
474,7837,Nederlandsche Bank,"Westeneind, Paulus Wilhelmus Gijsbertus Franciscus ten",P130523,Bestuurder
476,7842,Co-op,"Boer, Herman Jacob",P105961,Bestuurder
478,7842,Co-op,"Grutters, Hendrikus Bernardus Maria",P126993,Bestuurder
479,7842,Co-op,"Louwhoff, Henricus Antonius",P102835,Bestuurder
480,7842,Co-op,"Passchier, Nicolaas Johannes",P127508,Bestuurder
481,7842,Co-op,"Verspuij, Hendrik W.G. (Erik)",P130762,Bestuurder
482,7842,Co-op,"Wegh, Gerardus Wilhelmus",P118272,Bestuurder
483,8416,Grontmij,"Betzema, Johan Jacob",P121453,Bestuurder
484,8416,Grontmij,"Dalen, Niels Josephus Martinus van",P111643,Bestuurder
485,8416,Grontmij,"Groenevelt, Hendrik Wllem",P110924,Bestuurder
486,8416,Grontmij,"Reeskamp, Johannes Jacobus",P113792,Bestuurder
487,8416,Grontmij,"Schoppink, Marius Albert Herman",P111621,Bestuurder
488,8416,Grontmij,"Snoek, Herman",P110396,Bestuurder
491,9041,Alliance,"Ende, Danielle van der",P108714,Bestuurder
492,9041,Alliance,"Griffioen, Gerrit",P131474,Bestuurder
493,9041,Alliance,"Kamer, Hendrikus Johannes Adrianus van de",P118017,Bestuurder
494,9041,Alliance,"Klapwijk, Pieter Simon Adriaan",P109257,Bestuurder
495,9041,Alliance,"Kneipe, Philippe",P127403,Bestuurder
496,9041,Alliance,"Leenstra, Marinus Giljam",P112495,Bestuurder
497,9041,Alliance,"Renders, Lucas Maria",P116656,Bestuurder
498,9041,Alliance,"Schreurs, Michael",P116258,Bestuurder
499,9873,IFF,"Aa, Franciscus Theodoor van der",P117373,Bestuurder
500,9873,IFF,"Aarts, Gerardus Peter Cornelis",P114577,Bestuurder
501,9873,IFF,"Ambergen, Johannes Antonius",P131695,Bestuurder
503,9873,IFF,"Leijs, Johannes Josephus Cornelis Maria",P114588,Bestuurder
504,9873,IFF,"Niekus-van Waveren, Hannah Elise",P114711,Bestuurder
505,9873,IFF,"Walsum, Arnoud van",P127072,Bestuurder
506,10036,Lanschot,"Feltz-Doude van Troostwijk, Reiniera Frederica van der",P131064,Bestuurder
507,10036,Lanschot,"Kempen, Hans Adriaan",P106743,Bestuurder
508,10036,Lanschot,"Rab, Markus Franciscus",P106742,Bestuurder
509,10036,Lanschot,Verberne,P118810,Bestuurder
510,10036,Lanschot,"Winkelhuijzen, Wendy",P132197,Bestuurder
511,10036,Lanschot,"Zeverijn, Willem Sako",P104875,Bestuurder
515,10541,"Mode-, Interieur-, Tapijt- en Textielindustrie (MITT)","Hasselman, Jan",P102319,Bestuurder
517,10541,"Mode-, Interieur-, Tapijt- en Textielindustrie (MITT)","Jochems, Josephus Joannes Christianus",P109593,Bestuurder
518,10541,"Mode-, Interieur-, Tapijt- en Textielindustrie (MITT)","Katerberg, Thie",P118702,Bestuurder
519,10541,"Mode-, Interieur-, Tapijt- en Textielindustrie (MITT)","Lamers, Gerardus Adrianus Joseph",P102317,Bestuurder
520,10541,"Mode-, Interieur-, Tapijt- en Textielindustrie (MITT)","Meer, Hendrik Jan van der",P116814,Bestuurder
521,10541,"Mode-, Interieur-, Tapijt- en Textielindustrie (MITT)","Plat, Jacob",P115773,Bestuurder
522,10541,"Mode-, Interieur-, Tapijt- en Textielindustrie (MITT)","Raadgever, Leendert Pieter",P120646,Bestuurder
523,10541,"Mode-, Interieur-, Tapijt- en Textielindustrie (MITT)","Raaijmakers, Martijn",P103710,Bestuurder
524,10541,"Mode-, Interieur-, Tapijt- en Textielindustrie (MITT)","Spruijt, Johannes Adrianus",P109559,Bestuurder
526,10541,"Mode-, Interieur-, Tapijt- en Textielindustrie (MITT)","Verstraten, Marcel Cornelius Johannes",P109418,Bestuurder
527,10542,Metalektro (PME),"Andringa, Marcel René",P128828,Bestuurder
529,10542,Metalektro (PME),"Brocken, Josephus Petrus Maria",P118093,Bestuurder
530,10542,Metalektro (PME),"Charro, Rudolphus Franciscus Maria de",P116995,Bestuurder
531,10542,Metalektro (PME),"Duijst, Hendrik",P100037,Bestuurder
532,10542,Metalektro (PME),"Kroezen, Hendrik",P115984,Bestuurder
533,10542,Metalektro (PME),"Nagtegaal, Andries Abert (Dries)",P121999,Bestuurder
534,10542,Metalektro (PME),"Noordman, Willem Johannes Maria",P120002,Bestuurder
535,10542,Metalektro (PME),"Raadgever, Leendert Pieter",P120646,Bestuurder
536,10542,Metalektro (PME),"Simons, Maria Henriëtte Adriana Catharina Joanna",P125955,Bestuurder
537,10542,Metalektro (PME),"Slikkerveer, Ivo",P111378,Bestuurder
538,10542,Metalektro (PME),"Til, Gerardus Evernardus Arnoldus van",P126943,Bestuurder
539,10542,Metalektro (PME),"Uijen, Everhardus Anthonius Wilhelmus Maria",P116805,Bestuurder
540,10542,Metalektro (PME),"Vlasblom, Wouter",P122854,Bestuurder
541,10547,Bouwnijverheid,"Bastiaansen, Cornelis Antonius Jozef",P131592,Bestuurder
542,10547,Bouwnijverheid,"Berke, Leen",P131072,Bestuurder
543,10547,Bouwnijverheid,"Blomberg, Miranda Alexandra",P108631,Bestuurder
544,10547,Bouwnijverheid,"Brink, Aart van den",P126862,Bestuurder
546,10547,Bouwnijverheid,"Heijnen, Antonius Alfred Joseph",P118363,Bestuurder
548,10547,Bouwnijverheid,"Houwelingen, Willem Johannes van",P129204,Bestuurder
549,10547,Bouwnijverheid,"Hulshof-Bink, Roeland Erik",P106361,Bestuurder
550,10547,Bouwnijverheid,"Klein Poelhuis, Henk",P100051,Bestuurder
551,10547,Bouwnijverheid,"Koomans, Johannes Bernardus",P121971,Bestuurder
553,10547,Bouwnijverheid,"Raessens, Georges Frederik Maria Bernadette",P121513,Bestuurder
554,10547,Bouwnijverheid,Rohof,P118506,Bestuurder
556,10547,Bouwnijverheid,"Scheepens, Louter Cornelis Adriaan",P127429,Bestuurder
558,10549,"Schilders-, Afwerkings- en Glaszetbedrijf","Berg, A.L.W. van den",P130288,Bestuurder
560,10549,"Schilders-, Afwerkings- en Glaszetbedrijf","Buller, Adrianus Philippus Maria",P114462,Bestuurder
562,10549,"Schilders-, Afwerkings- en Glaszetbedrijf","Leisink, Leonardus Carolus Maria",P109450,Bestuurder
563,10549,"Schilders-, Afwerkings- en Glaszetbedrijf","Loon, Elisabeth Johanna Petronella Maria van",P130842,Bestuurder
565,10549,"Schilders-, Afwerkings- en Glaszetbedrijf","Roos, Peter Henk",P121065,Bestuurder
566,10549,"Schilders-, Afwerkings- en Glaszetbedrijf","Rosenberg, Marcus Henricus",P113791,Bestuurder
569,10549,"Schilders-, Afwerkings- en Glaszetbedrijf","Werf-de Koning, Catharina Maria van der",P100240,Bestuurder
570,10549,"Schilders-, Afwerkings- en Glaszetbedrijf","Wuijten, Hendrik Jacobus",P109929,Bestuurder
571,10557,Metaal en Techniek (PMT),"Akkerman, Albert Johannes",P107460,Bestuurder
572,10557,Metaal en Techniek (PMT),"Balluseck, Felix Sàndor von",P124935,Bestuurder
573,10557,Metaal en Techniek (PMT),"Berghuis, Jan",P117735,Bestuurder
574,10557,Metaal en Techniek (PMT),"Brocken, Josephus Petrus Maria",P118093,Bestuurder
575,10557,Metaal en Techniek (PMT),"Hulsegge, Marcel",P111543,Bestuurder
576,10557,Metaal en Techniek (PMT),"Keijer, Harm Jan",P120935,Bestuurder
578,10557,Metaal en Techniek (PMT),"Kortbeek, Michaël",P118905,Bestuurder
579,10557,Metaal en Techniek (PMT),"Luunen, Hijbert Jacobus van",P116458,Bestuurder
580,10557,Metaal en Techniek (PMT),"Popta, Klaas Benne van",P121257,Bestuurder
581,10557,Metaal en Techniek (PMT),"Rhijn, Arie Theodorus van",P100027,Bestuurder
582,10557,Metaal en Techniek (PMT),"Schouten, Josephus Johannes Petrus",P119670,Bestuurder
583,10557,Metaal en Techniek (PMT),"Spruijt, Johannes Adrianus",P109559,Bestuurder
587,10559,Houthandel,"Biezen, Olaf van",P126998,Bestuurder
588,10559,Houthandel,"Boer, Franciscus Antonius de",P101917,Bestuurder
590,10559,Houthandel,"Groen, Wirtje Bryce",P120834,Bestuurder
591,10559,Houthandel,"Leisink, Leonardus Carolus Maria",P109450,Bestuurder
592,10559,Houthandel,"Meerten, van",P117638,Bestuurder
594,10559,Houthandel,"Raadgever, Leendert Pieter",P120646,Bestuurder
596,10560,Sigarenindustrie,"Crijnen, Marcel Herman Jean Marie",P102684,Bestuurder
597,10560,Sigarenindustrie,"Dassen-Soons, Charlotte",P125385,Bestuurder
599,10560,Sigarenindustrie,"Gooijer, Cornelis Nicolaas Jan Marco de",P102664,Bestuurder
601,10560,Sigarenindustrie,"Kaspers, Richard Alphons Johan",P101389,Bestuurder
602,10560,Sigarenindustrie,"Koudys, George Helmert",P118200,Bestuurder
605,10560,Sigarenindustrie,"Verheggen, Paul Marie Alphonse Joseph",P117751,Bestuurder
606,10561,Slagersbedrijf,"Baars, Antonius Johannes Gerardus van",P111936,Bestuurder
609,10561,Slagersbedrijf,"Daams-van Geijn, Wilhelmina Constantia Maria",P100924,Bestuurder
610,10561,Slagersbedrijf,"Dik, Roel",P109910,Bestuurder
611,10561,Slagersbedrijf,"Geurts, Walter Andreas Johannes",P109549,Bestuurder
612,10561,Slagersbedrijf,"Hoogenboom, Willem Peter",P110347,Bestuurder
613,10561,Slagersbedrijf,"Keijzer, Johannes Martinus Jacobus Josephus de",P106461,Bestuurder
614,10561,Slagersbedrijf,"Kessel, Robertus Bernardus Elisatbeth van",P112422,Bestuurder
616,10561,Slagersbedrijf,"Meer, Hendrik Jan van der",P116814,Bestuurder
617,10561,Slagersbedrijf,Runderkamp,P120879,Bestuurder
620,10561,Slagersbedrijf,"Veen, Frans Auke van de",P109116,Bestuurder
621,10561,Slagersbedrijf,"Vlietman, Robert Wijnand",P126896,Bestuurder
623,10565,Landbouw,"Crucq, Franciscus Maria",P118199,Bestuurder
625,10565,Landbouw,"Gertsen, Hendrikus Frederikus Maria",P125123,Bestuurder
626,10565,Landbouw,"Hakhoff- Daamen, Monique Johanna Antonia Maria",P129212,Bestuurder
628,10565,Landbouw,"Koudys, George Helmert",P118200,Bestuurder
629,10565,Landbouw,"Leeuwen, Johannes Wilhelmus Jacobus van",P128794,Bestuurder
630,10565,Landbouw,"Maris, Jan",P126605,Bestuurder
631,10565,Landbouw,"Onstwedder, Henk",P108856,Bestuurder
633,10565,Landbouw,"Rosenberg, Marcus Henricus",P113791,Bestuurder
635,10565,Landbouw,"Starre, Jacobus Hendrikus",P132288,Bestuurder
636,10565,Landbouw,"Vulto, Hermanus Theodorus Johannes",P121300,Bestuurder
638,10682,Bakkersbedrijf,"Borghouts, Stephanus Johannes Henricus",P130670,Bestuurder
640,10682,Bakkersbedrijf,"Heijden, Petrus Franz Jozef van der",P114607,Bestuurder
641,10682,Bakkersbedrijf,"Hienen, Adrianus Antonius van",P113091,Bestuurder
642,10682,Bakkersbedrijf,"Jacobs-Teunissen, Maureen Henrica Anna",P114972,Bestuurder
643,10682,Bakkersbedrijf,"Kroft, Jeannette Johanna Cornelia van der",P128369,Bestuurder
644,10682,Bakkersbedrijf,"Lahoye, René Antonius Johannes",P117431,Bestuurder
646,10682,Bakkersbedrijf,"Mannaert, Peter",P117180,Bestuurder
648,10682,Bakkersbedrijf,"Straten, Marco Willem van",P104731,Bestuurder
649,10682,Bakkersbedrijf,"Tromp, Adriaan Christiaan",P127594,Bestuurder
651,10682,Bakkersbedrijf,"Volkeri, Theodorus Leendert",P118083,Bestuurder
653,11322,Koopvaardij,"Dam, Marcel Hubert Wilfried van",P128826,Bestuurder
655,11322,Koopvaardij,"Horst, Peter Gijsbert van der",P127476,Bestuurder
656,11322,Koopvaardij,"Hulshof-Bink, Roeland Erik",P106361,Bestuurder
658,11322,Koopvaardij,"Lange, Henriëtte Wilhelmina Laurina Adriana de",P109836,Bestuurder
659,11322,Koopvaardij,"Lefel, Franciscius Martinus Antonius",P125877,Bestuurder
661,11322,Koopvaardij,"Sluis, Corstiaan Christina van der",P120603,Bestuurder
663,11322,Koopvaardij,"Zier, Maarten Warnardus",P119687,Bestuurder
664,11322,Koopvaardij,"Zimmerman, Antonius Wilhelmus Paulus Marie",P120538,Bestuurder
666,11492,Telegraaf,"Groot, Hendrik de",P130272,Bestuurder
667,11492,Telegraaf,"Hoff, Jurriën van den",P107803,Bestuurder
668,11492,Telegraaf,"Leeuwen, Abraham van",P121627,Bestuurder
669,11492,Telegraaf,"Meersma, Jeroen Henrik",P132384,Bestuurder
670,11492,Telegraaf,"Neumann, Nathalie Odette",P128821,Bestuurder
671,11492,Telegraaf,"Reekers, Arnoldus Jacobus",P129767,Bestuurder
672,11492,Telegraaf,"Visser-Moos, Monique",P103216,Bestuurder
675,11756,Schoen en Leder,"Herpen, Harry van",P121077,Bestuurder
676,11756,Schoen en Leder,"Katerberg, Thie",P118702,Bestuurder
681,11756,Schoen en Leder,"Wendel, Hans Wilhelm Johannes",P109806,Bestuurder
683,12212,Meubelindustrie,"Brummel, Jan",P120701,Bestuurder
684,12212,Meubelindustrie,"Custers, Stephanus Maria Johannes",P121081,Bestuurder
685,12212,Meubelindustrie,"Dijk, Robertus Gerardus Antonius van",P110522,Bestuurder
686,12212,Meubelindustrie,"Heijnen, Marinus Theodorus Johannes",P112219,Bestuurder
687,12212,Meubelindustrie,"Leisink, Leonardus Carolus Maria",P109450,Bestuurder
688,12212,Meubelindustrie,"Nieuwenhuis, Gerrit Harm",P107924,Bestuurder
689,12212,Meubelindustrie,"Priester, Peter",P107702,Bestuurder
690,12212,Meubelindustrie,"Wuijten, Hendrik Jacobus",P109929,Bestuurder
705,13358,Notariaat,"Bosselaar, Lourens",P100231,Bestuurder
706,13358,Notariaat,"Gaalen, Mathijs Alexander van",P111553,Bestuurder
707,13358,Notariaat,"Geest, Klazina Adriana Jacoba van",P121559,Bestuurder
709,13358,Notariaat,"Hoekstra, Albertus",P117553,Bestuurder
710,13358,Notariaat,"Loof, Jan Pieter",P116061,Bestuurder
715,13358,Notariaat,"Werf, Molle Johannes van der",P118445,Bestuurder
717,13579,Will Niemeijer,"Bolhuis, Jan Peter",P131013,Bestuurder
718,13579,Will Niemeijer,"Faber, Ynze",P117860,Bestuurder
719,13579,Will Niemeijer,"Klinken, Marvin Oliver Roman van",P110587,Bestuurder
721,13579,Will Niemeijer,"Tammens, Eppo",P129062,Bestuurder
722,13579,Will Niemeijer,"Veen, Gijbert Christiaan van der",P104240,Bestuurder
723,13579,Will Niemeijer,"Viring, Ronald",P102570,Bestuurder
725,14089,Grafische Bedrijven (PGB),"Coenradie, Lambertus",P110345,Bestuurder
727,14089,Grafische Bedrijven (PGB),"Elzerman, Hubertus Adrianus",P120995,Bestuurder
728,14089,Grafische Bedrijven (PGB),"Haan, Frans de",P118619,Bestuurder
729,14089,Grafische Bedrijven (PGB),"Heerkens, Robertus Wilhelmus Jozef",P116851,Bestuurder
730,14089,Grafische Bedrijven (PGB),Jansen,P116441,Bestuurder
731,14089,Grafische Bedrijven (PGB),"Kapteijn-Fokkens, Hendrikje",P113512,Bestuurder
734,14089,Grafische Bedrijven (PGB),"Verplancke, Arnoldus Maria",P120569,Bestuurder
736,14089,Grafische Bedrijven (PGB),"Vollebergh, Thomas Jacobus Franciscus",P130676,Bestuurder
737,14089,Grafische Bedrijven (PGB),"Wilson, Peggy Mildred Beatrice (Peggy)",P101071,Bestuurder
738,14311,Vleesindustrie,"Beek, Jan van",P120395,Bestuurder
739,14311,Vleesindustrie,"Dobbelaar, Paul Joseph Maria",P110376,Bestuurder
740,14311,Vleesindustrie,"Driessen, Christiaan Clement Hubertus Johannes",P114891,Bestuurder
742,14311,Vleesindustrie,"Kruijk, Richard Peter van der",P129562,Bestuurder
743,14311,Vleesindustrie,"Muusers, Daniel Hendrikus Maria",P128040,Bestuurder
744,14311,Vleesindustrie,"Odink, Berend Jan",P101545,Bestuurder
746,14311,Vleesindustrie,"Ploeg, Roelf Kornelis van der",P131265,Bestuurder
747,14311,Vleesindustrie,"Post, Barthold Jacob",P116576,Bestuurder
749,14311,Vleesindustrie,"Trepels, Johannes Petrus Gerardus Marie (Johan)",P112316,Bestuurder
751,14311,Vleesindustrie,"Vesseur, Petrus Christoffel",P115661,Bestuurder
752,14311,Vleesindustrie,"Wevers, Jan Willem",P118800,Bestuurder
753,14311,Vleesindustrie,"Wichems, Gerrit Jan (Geke)",P115940,Bestuurder
754,14400,Waterbouw,"Beusekom, Marsha van",P100324,Bestuurder
755,14400,Waterbouw,"Brink, Aart van den",P126862,Bestuurder
758,14400,Waterbouw,"Haaster, Theodorus Johannes Maria van",P116713,Bestuurder
760,14400,Waterbouw,"Jong, Huibert de",P115049,Bestuurder
761,14400,Waterbouw,"Kamps, Johannes Hendrikus",P120263,Bestuurder
764,14400,Waterbouw,"Strang, Henk-Jan Paul",P130965,Bestuurder
766,14682,Honeywell,"Falier, Marco Jozef Martinus van",P121388,Bestuurder
767,14682,Honeywell,"Huigen, Johannes",P116104,Bestuurder
768,14682,Honeywell,"Oetelaar, Franciscus Henricus Maria van den",P105662,Bestuurder
769,14682,Honeywell,"Voort-Bergman, Cindy van der",P104491,Bestuurder
770,14682,Honeywell,"Vries, Jan de",P101427,Bestuurder
771,15133,Betonproducten,"Blom, Johannes Cornelis",P101878,Bestuurder
772,15133,Betonproducten,"Borghouts, Stephanus Johannes Henricus",P130670,Bestuurder
773,15133,Betonproducten,"Bruns, Laura Leonore",P100741,Bestuurder
774,15133,Betonproducten,"Folkers, Yvonne",P100271,Bestuurder
775,15133,Betonproducten,"Jorna, André",P101070,Bestuurder
777,15133,Betonproducten,"Peijl, Govert Willem van der",P118573,Bestuurder
782,15133,Betonproducten,"Slob, Dirk Pieter",P109148,Bestuurder
783,15133,Betonproducten,"Wuijten, Hendrik Jacobus",P109929,Bestuurder
784,15565,Medewerkers Apotheken,"Bal, Andreas Albertus",P120348,Bestuurder
785,15565,Medewerkers Apotheken,"Basten Batenburg, Joris Hubertus Marie van",P105314,Bestuurder
787,15565,Medewerkers Apotheken,"Boon, Johannes Paulus Cornelis Ireneus",P107537,Bestuurder
788,15565,Medewerkers Apotheken,"Eeken, Johannes Petrus",P117696,Bestuurder
789,15565,Medewerkers Apotheken,"Hagenzieker, Mark Anton",P120550,Bestuurder
790,15565,Medewerkers Apotheken,Hertroys,P116565,Bestuurder
791,15565,Medewerkers Apotheken,"Huizenga, Jurrien Gerrit",P116799,Bestuurder
792,15565,Medewerkers Apotheken,"Jong, Jan Janse de",P107260,Bestuurder
794,15565,Medewerkers Apotheken,"Lunsingh, Rudolf Eduard",P131517,Bestuurder
795,15565,Medewerkers Apotheken,"Meenink-Bouwman, Raymond",P127030,Bestuurder
796,15565,Medewerkers Apotheken,"Smals, Bart Max Geert",P115817,Bestuurder
798,15565,Medewerkers Apotheken,"Teitsma, Tonny",P105048,Bestuurder
799,15565,Medewerkers Apotheken,"Veenhuizen, Johan Paulus",P126378,Bestuurder
800,15565,Medewerkers Apotheken,"Wijst, Antonius Henricus Lambertus van der",P127446,Bestuurder
802,15629,Houtverwerkende industrie,"Blomberg, Miranda Alexandra",P108631,Bestuurder
803,15629,Houtverwerkende industrie,"Ceelaert, Alphonsus Josephus Maria",P118725,Bestuurder
805,15629,Houtverwerkende industrie,"Faber, Frank Frederik",P104588,Bestuurder
806,15629,Houtverwerkende industrie,"Heuvel, Jan Jeroen van den",P129771,Bestuurder
807,15629,Houtverwerkende industrie,"Houwelingen, Willem Johannes van",P129204,Bestuurder
811,15629,Houtverwerkende industrie,"Roeten, Harm",P121190,Bestuurder
812,15629,Houtverwerkende industrie,Schuil,P102685,Bestuurder
815,16458,Bouwmaterialen,"Beer, Franciscus Johannes Maria de",P130928,Bestuurder
817,16458,Bouwmaterialen,"Heiningen, Gerardus Petrus Theodorus van",P132276,Bestuurder
820,16458,Bouwmaterialen,"Maden-van der Ploeg, Sandra van der",P103024,Bestuurder
821,16458,Bouwmaterialen,"Schoon, Hendrikus Johannes Julius",P120168,Bestuurder
822,16458,Bouwmaterialen,"Slingerland, Arrian Niels",P111682,Bestuurder
823,16458,Bouwmaterialen,"Vaes, Mathieu Johannes Josephus",P130927,Bestuurder
824,16458,Bouwmaterialen,"Vijver, Marc Patrick",P113095,Bestuurder
827,16534,Architectenbureaus,"Dekkers, Gerrit Frederik",P111696,Bestuurder
829,16534,Architectenbureaus,"Hees, Gerardus Johannes Andreas van",P120221,Bestuurder
830,16534,Architectenbureaus,"Heuts, Wilhelmus Guillaume",P116355,Bestuurder
831,16534,Architectenbureaus,"Nagtegaal, Robert George",P120788,Bestuurder
834,16534,Architectenbureaus,"Schuijt, Hendrik",P107719,Bestuurder
835,16534,Architectenbureaus,"Slikkerveer, Ivo",P111378,Bestuurder
836,16534,Architectenbureaus,"Vaan, Hendrikus Wilhelmus Theodorus de",P118043,Bestuurder
837,16534,Architectenbureaus,"Vledder, Roeland Henricus Adrianus van",P126806,Bestuurder
838,16761,Delta Lloyd,"Alphen, Hieronymus Marinus Bouke (Joeri) van",P126849,Bestuurder
839,16761,Delta Lloyd,"Galesloot-Vaal, Elisabeth Wilhelmina (Liesbeth)",P108787,Bestuurder
840,16761,Delta Lloyd,"Geboers, Herma Arnolda Norbertina",P117254,Bestuurder
842,16761,Delta Lloyd,"Rooijen, Gerardus Johannes van",P104658,Bestuurder
843,16761,Delta Lloyd,"Roos, Thomas Jan Matthijs",P123933,Bestuurder
844,16761,Delta Lloyd,"Roos, Thomas Jan Matthijs",P123933,Bestuurder
845,17571,Vlakglas Verf,"Borm, Josephus Adrianus Johannes Maria",P121243,Bestuurder
846,17571,Vlakglas Verf,"Janssen, Johannes Petrus Maria (Piet)",P101873,Bestuurder
847,17571,Vlakglas Verf,"Kiffen, Aleidus Albertus",P119751,Bestuurder
848,17571,Vlakglas Verf,"Leeuwen, Antje van",P132229,Bestuurder
849,17571,Vlakglas Verf,"Lundgren, Elina Victoria",P127244,Bestuurder
850,17571,Vlakglas Verf,"Lustgraaf, Evert Eduard",P116584,Bestuurder
856,17571,Vlakglas Verf,"Vlietman, Robert Wijnand",P126896,Bestuurder
857,17687,Bibliotheken,"Grootendorst, Eldert Cornelis",P117577,Bestuurder
861,17687,Bibliotheken,"Oosterink, Willem Roelof",P123687,Bestuurder
862,17687,Bibliotheken,"Pronk, Robert Johannes",P107323,Bestuurder
863,17687,Bibliotheken,"Ruiter, Gerrit de",P107495,Bestuurder
865,17687,Bibliotheken,"Yagoubi, Hanan",P107947,Bestuurder
866,18397,Molenaars,"Altundal, Nurettin",P110134,Bestuurder
